maintenance_id,event_id,equipment_id,opened_at,closed_at,intervention_type,outcome,downtime_minutes,labor_hours,parts_cost_eur,parts_replaced_count,work_order_note,period,source_system
MNT-2026S1-B0016,EVT-2026S1-B016,EQ-M2X-016,2026-05-06T14:30:00Z,2026-05-06T21:08:00Z,calibration,follow_up_required,398,6.42,533.0,1,,2026-S1,gmao-v2
MNT-2026S1-B0017,EVT-2026S1-B017,EQ-M2X-017,2026-05-06T19:30:00Z,2026-05-07T02:31:00Z,preventive,resolved,421,6.79,564.75,2,,2026-S1,gmao-v2
MNT-2026S1-B0018,EVT-2026S1-B018,EQ-M2X-018,2026-05-07T00:30:00Z,2026-05-07T01:04:00Z,corrective,monitoring,34,7.16,596.5,3,,2026-S1,gmao-v2
MNT-2026S1-B0019,EVT-2026S1-B019,EQ-M2X-019,2026-05-07T05:30:00Z,2026-05-07T06:27:00Z,inspection,parts_ordered,57,7.53,628.25,4,,2026-S1,gmao-v2
MNT-2026S1-B0020,EVT-2026S1-B020,EQ-M2X-020,2026-05-07T10:30:00Z,2026-05-07T11:50:00Z,calibration,follow_up_required,80,7.9,660.0,0,,2026-S1,gmao-v2
MNT-2026S1-B0021,EVT-2026S1-B021,EQ-M2X-021,2026-05-07T15:30:00Z,2026-05-07T17:13:00Z,preventive,resolved,103,8.27,691.75,1,,2026-S1,gmao-v2
MNT-2026S1-B0022,EVT-2026S1-B022,EQ-M2X-022,2026-05-07T20:30:00Z,2026-05-07T22:36:00Z,corrective,monitoring,126,8.64,723.5,2,,2026-S1,gmao-v2
MNT-2026S1-B0023,EVT-2026S1-B023,EQ-M2X-023,2026-05-08T01:30:00Z,2026-05-08T03:59:00Z,inspection,parts_ordered,149,9.01,755.25,3,,2026-S1,gmao-v2
MNT-2026S1-B0024,EVT-2026S1-B024,EQ-M2X-024,2026-05-08T06:30:00Z,2026-05-08T09:22:00Z,calibration,follow_up_required,172,9.38,787.0,4,,2026-S1,gmao-v2
MNT-2026S1-B0025,EVT-2026S1-B025,EQ-M2X-001,2026-05-08T11:30:00Z,2026-05-08T14:45:00Z,preventive,resolved,195,9.75,818.75,0,,2026-S1,gmao-v2
MNT-2026S1-B0026,EVT-2026S1-B026,EQ-M2X-002,2026-05-08T16:30:00Z,2026-05-08T20:08:00Z,corrective,monitoring,218,0.62,850.5,1,,2026-S1,gmao-v2
MNT-2026S1-B0027,EVT-2026S1-B027,EQ-M2X-003,2026-05-08T21:30:00Z,2026-05-09T01:31:00Z,inspection,parts_ordered,241,0.99,32.25,2,,2026-S1,gmao-v2
MNT-2026S1-B0028,EVT-2026S1-B028,EQ-M2X-004,2026-05-09T02:30:00Z,2026-05-09T06:54:00Z,calibration,follow_up_required,264,1.36,64.0,3,,2026-S1,gmao-v2
MNT-2026S1-B0029,EVT-2026S1-B029,EQ-M2X-005,2026-05-09T07:30:00Z,2026-05-09T12:17:00Z,preventive,resolved,287,1.73,95.75,4,,2026-S1,gmao-v2
MNT-2026S1-B0030,EVT-2026S1-B030,EQ-M2X-006,2026-05-09T12:30:00Z,2026-05-09T17:40:00Z,remote_diagnostic,monitoring,310,2.1,127.5,0,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0031,EVT-2026S1-B031,EQ-M2X-007,2026-05-09T17:30:00Z,2026-05-09T23:03:00Z,inspection,parts_ordered,333,2.47,50000.0,1,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0032,EVT-2026S1-B032,EQ-M2X-008,2026-05-09T22:30:00Z,2026-05-10T04:26:00Z,calibration,pending_review,356,2.84,191.0,2,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0033,EVT-2026S1-B033,EQ-M2X-009,2026-05-10T03:30:00Z,2026-05-10T09:49:00Z,preventive,resolved,379,3.21,222.75,-1,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0034,EVT-2026S1-B034,EQ-M2X-010,2026-05-10T08:30:00Z,2026-05-10T15:12:00Z,corrective,monitoring,402,"2,5",254.5,4,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0035,EVT-2026S1-B035,EQ-M2X-011,2026-05-10T13:30:00Z,2026-05-10T20:35:00Z,inspection,parts_ordered,425,3.95,286.25,0,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0036,EVT-2026S1-B036,EQ-M2X-012,2026-05-10T18:30:00Z,2026-05-10T19:08:00Z,calibration,follow_up_required,38,4.32,318.0,1,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0037,EVT-2026S1-B037,EQ-M2X-013,2026-05-10T23:30:00Z,2026-05-11T00:31:00Z,preventive,resolved,61,4.69,349.75,2,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0038,EVT-2026S1-B038,EQ-M2X-014,2026-05-11T04:30:00Z,2026-05-11T05:54:00Z,corrective,monitoring,84,5.06,381.5,3,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0039,EVT-2026S1-B039,EQ-M2X-015,2026-05-11T09:30:00Z,2026-05-11T11:17:00Z,inspection,parts_ordered,107,5.43,413.25,4,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0040,EVT-2026S1-B040,EQ-M2X-016,2026-05-11T14:30:00Z,2026-05-11T16:40:00Z,calibration,follow_up_required,130,5.8,445.0,0,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0041,EVT-2026S1-B041,EQ-M2X-017,2026-05-11T19:30:00Z,2026-05-11T22:03:00Z,preventive,resolved,153,6.17,476.75,1,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0042,EVT-2026S1-B042,EQ-M2X-018,2026-05-12T00:30:00Z,2026-05-12T03:26:00Z,corrective,monitoring,176,6.54,508.5,2,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0043,EVT-2026S1-B043,EQ-M2X-019,2026-05-12T05:30:00Z,2026-05-12T08:49:00Z,inspection,parts_ordered,199,6.91,540.25,3,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0044,EVT-2026S1-B044,EQ-M2X-020,2026-05-12T10:30:00Z,2026-05-12T14:12:00Z,calibration,follow_up_required,222,7.28,572.0,4,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0045,EVT-2026S1-B045,EQ-M2X-021,2026-05-12T15:30:00Z,2026-05-12T19:35:00Z,preventive,resolved,245,7.65,603.75,0,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0046,EVT-2026S1-B046,EQ-M2X-022,2026-05-12T20:30:00Z,2026-05-13T00:58:00Z,corrective,monitoring,268,8.02,635.5,1,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0047,EVT-2026S1-B047,EQ-M2X-023,2026-05-13T01:30:00Z,2026-05-13T06:21:00Z,inspection,parts_ordered,291,8.39,667.25,2,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0048,EVT-2026S1-B048,EQ-M2X-024,2026-05-13T06:30:00Z,2026-05-13T11:44:00Z,calibration,follow_up_required,314,8.76,699.0,3,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0049,EVT-2026S1-B049,EQ-M2X-001,2026-05-13T11:30:00Z,2026-05-13T17:07:00Z,preventive,resolved,337,9.13,730.75,4,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0050,EVT-2026S1-B050,EQ-M2X-002,2026-05-13T16:30:00Z,2026-05-13T22:30:00Z,corrective,monitoring,360,9.5,762.5,0,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0051,EVT-2026S1-B051,EQ-M2X-003,2026-05-13T21:30:00Z,2026-05-14T03:53:00Z,inspection,parts_ordered,383,9.87,794.25,1,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0052,EVT-2026S1-B052,EQ-M2X-004,2026-05-14T02:30:00Z,2026-05-14T09:16:00Z,calibration,follow_up_required,406,0.74,826.0,2,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0053,EVT-2026S1-B053,EQ-M2X-005,2026-05-14T07:30:00Z,2026-05-14T14:39:00Z,preventive,resolved,429,1.11,857.75,3,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0054,EVT-2026S1-B054,EQ-M2X-006,2026-05-14T12:30:00Z,2026-05-14T13:12:00Z,corrective,monitoring,42,1.48,39.5,4,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0055,EVT-2026S1-B055,EQ-M2X-007,2026-05-14T17:30:00Z,2026-05-14T18:35:00Z,inspection,parts_ordered,65,1.85,71.25,0,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0056,EVT-2026S1-B056,EQ-M2X-008,2026-05-14T22:30:00Z,2026-05-14T23:58:00Z,calibration,follow_up_required,88,2.22,103.0,1,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0057,EVT-2026S1-B057,EQ-M2X-009,2026-05-15T03:30:00Z,2026-05-15T05:21:00Z,preventive,resolved,111,2.59,134.75,2,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0058,EVT-2026S1-B058,EQ-M2X-010,2026-05-15T08:30:00Z,2026-05-15T10:44:00Z,corrective,monitoring,134,2.96,166.5,3,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0059,EVT-2026S1-B059,EQ-M2X-011,2026-05-15T13:30:00Z,2026-05-15T16:07:00Z,inspection,parts_ordered,157,3.33,198.25,4,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0060,EVT-2026S1-B060,EQ-M2X-012,2026-05-15T18:30:00Z,2026-05-15T21:30:00Z,calibration,follow_up_required,180,3.7,230.0,0,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0061,EVT-2026S1-B061,EQ-M2X-013,2026-05-15T23:30:00Z,2026-05-16T02:53:00Z,preventive,resolved,203,4.07,261.75,1,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0062,EVT-2026S1-B062,EQ-M2X-014,2026-05-16T04:30:00Z,2026-05-16T08:16:00Z,corrective,monitoring,226,4.44,293.5,2,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0063,EVT-2026S1-B063,EQ-M2X-015,2026-05-16T09:30:00Z,2026-05-16T13:39:00Z,inspection,parts_ordered,249,4.81,325.25,3,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0064,EVT-2026S1-B064,EQ-M2X-016,2026-05-16T14:30:00Z,2026-05-16T19:02:00Z,calibration,follow_up_required,272,5.18,357.0,4,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0065,EVT-2026S1-B065,EQ-M2X-017,2026-05-16T19:30:00Z,2026-05-17T00:25:00Z,preventive,resolved,295,5.55,388.75,0,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0066,EVT-2026S1-B066,EQ-M2X-018,2026-05-17T00:30:00Z,2026-05-17T05:48:00Z,corrective,monitoring,318,5.92,420.5,1,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0067,EVT-2026S1-B067,EQ-M2X-019,2026-05-17T05:30:00Z,2026-05-17T11:11:00Z,inspection,parts_ordered,341,6.29,452.25,2,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0068,EVT-2026S1-B068,EQ-M2X-020,2026-05-17T10:30:00Z,2026-05-17T16:34:00Z,calibration,follow_up_required,364,6.66,484.0,3,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0069,EVT-2026S1-B069,EQ-M2X-021,2026-05-17T15:30:00Z,2026-05-17T21:57:00Z,preventive,resolved,387,7.03,515.75,4,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0070,EVT-2026S1-B070,EQ-M2X-022,2026-05-17T20:30:00Z,2026-05-18T03:20:00Z,corrective,monitoring,410,7.4,547.5,0,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0071,EVT-2026S1-B071,EQ-M2X-023,2026-05-18T01:30:00Z,2026-05-18T08:43:00Z,inspection,parts_ordered,433,7.77,579.25,1,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0072,EVT-2026S1-B072,EQ-M2X-024,2026-05-18T06:30:00Z,2026-05-18T07:16:00Z,calibration,follow_up_required,46,8.14,611.0,2,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0073,EVT-2026S1-B073,EQ-M2X-001,2026-05-18T11:30:00Z,2026-05-18T12:39:00Z,preventive,resolved,69,8.51,642.75,3,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0074,EVT-2026S1-B074,EQ-M2X-002,2026-05-18T16:30:00Z,2026-05-18T18:02:00Z,corrective,monitoring,92,8.88,674.5,4,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0075,EVT-2026S1-B075,EQ-M2X-003,2026-05-18T21:30:00Z,2026-05-18T23:25:00Z,inspection,parts_ordered,115,9.25,706.25,0,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0076,EVT-2026S1-B076,EQ-M2X-004,2026-05-19T02:30:00Z,2026-05-19T04:48:00Z,calibration,follow_up_required,138,9.62,738.0,1,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0077,EVT-2026S1-B077,EQ-M2X-005,2026-05-19T07:30:00Z,2026-05-19T10:11:00Z,preventive,resolved,161,9.99,769.75,2,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0078,EVT-2026S1-B078,EQ-M2X-006,2026-05-19T12:30:00Z,2026-05-19T15:34:00Z,corrective,monitoring,184,0.86,801.5,3,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0079,EVT-2026S1-B079,EQ-M2X-007,2026-05-19T17:30:00Z,2026-05-19T20:57:00Z,inspection,parts_ordered,207,1.23,833.25,4,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0080,EVT-2026S1-B080,EQ-M2X-008,2026-05-19T22:30:00Z,2026-05-20T02:20:00Z,calibration,follow_up_required,230,1.6,865.0,0,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0081,EVT-2026S1-0001,EQ-M2X-001,2026-05-20T03:30:00Z,2026-05-20T07:43:00Z,preventive,resolved,253,1.97,46.75,1,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0082,EVT-2026S1-B002,EQ-M2X-002,2026-05-20T08:30:00Z,2026-05-20T13:06:00Z,corrective,monitoring,276,2.34,78.5,2,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0083,EVT-2026S1-B002,EQ-M2X-003,2026-05-20T13:30:00Z,2026-05-20T18:29:00Z,inspection,parts_ordered,299,2.71,110.25,3,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0084,EVT-2026S1-B004,EQ-UNKNOWN-999,2026-05-20T18:30:00Z,2026-05-20T23:52:00Z,calibration,follow_up_required,322,3.08,142.0,4,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0085,EVT-2026S1-B005,EQ-M2X-005,2026-05-20T23:30:00Z,2026-05-21T05:15:00Z,preventive,resolved,345,3.45,173.75,0,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0086,EVT-2026S1-B006,EQ-M2X-006,2026-05-21T04:30:00Z,2026-05-21T10:38:00Z,corrective,monitoring,368,3.82,205.5,1,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0087,EVT-2026S1-B007,EQ-M2X-007,2026-05-21T09:30:00Z,2026-05-21T16:01:00Z,inspection,parts_ordered,391,4.19,237.25,2,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0088,EVT-2026S1-B008,EQ-M2X-008,2026-05-21T14:30:00Z,2026-05-21T21:24:00Z,calibration,follow_up_required,414,4.56,269.0,3,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0089,EVT-2026S1-B009,EQ-M2X-009,2026-05-21T19:30:00Z,2026-05-22T02:47:00Z,preventive,resolved,437,4.93,300.75,4,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0090,EVT-2026S1-B010,EQ-M2X-010,2026-05-22T00:30:00Z,2026-05-22T01:20:00Z,corrective,monitoring,50,5.3,332.5,0,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0091,EVT-2026S1-B011,EQ-M2X-011,2026-05-22T05:30:00Z,2026-05-22T06:43:00Z,inspection,parts_ordered,73,5.67,364.25,1,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0092,EVT-2026S1-B012,EQ-M2X-012,2026-05-22T10:30:00Z,2026-05-22T12:06:00Z,calibration,follow_up_required,96,6.04,396.0,2,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0093,EVT-2026S1-B013,EQ-M2X-013,2026-05-22T15:30:00Z,2026-05-22T17:29:00Z,preventive,resolved,119,6.41,427.75,3,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0094,EVT-2026S1-B014,EQ-M2X-014,2026-05-22T20:30:00Z,2026-05-22T22:52:00Z,corrective,monitoring,142,6.78,459.5,4,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0095,EVT-2026S1-B015,EQ-M2X-015,2026-05-23T01:30:00Z,2026-05-23T04:15:00Z,inspection,parts_ordered,165,7.15,491.25,0,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0096,EVT-2026S1-B016,EQ-M2X-016,2026-05-23T06:30:00Z,2026-05-23T09:38:00Z,calibration,follow_up_required,188,7.52,523.0,1,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0097,EVT-2026S1-B017,EQ-M2X-017,2026-05-23T11:30:00Z,2026-05-23T15:01:00Z,preventive,resolved,211,7.89,554.75,2,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0098,EVT-2026S1-B018,EQ-M2X-018,2026-05-23T16:30:00Z,2026-05-23T20:24:00Z,corrective,monitoring,234,8.26,586.5,3,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0099,EVT-2026S1-B019,EQ-M2X-019,2026-05-23T21:30:00Z,2026-05-24T01:47:00Z,inspection,parts_ordered,257,8.63,618.25,4,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0100,EVT-2026S1-B020,EQ-M2X-020,2026-05-24T02:30:00Z,2026-05-24T07:10:00Z,calibration,follow_up_required,280,9.0,650.0,0,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0101,EVT-2026S1-B021,EQ-M2X-021,2026-05-24T07:30:00Z,2026-05-24T12:33:00Z,preventive,resolved,303,9.37,681.75,1,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0102,EVT-2026S1-B022,EQ-M2X-022,2026-05-24T12:30:00Z,2026-05-24T17:56:00Z,corrective,monitoring,326,9.74,713.5,2,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0103,EVT-2026S1-B023,EQ-M2X-023,2026-05-24T17:30:00Z,2026-05-24T23:19:00Z,inspection,parts_ordered,349,0.61,745.25,3,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0104,EVT-2026S1-B024,EQ-M2X-024,2026-05-24T22:30:00Z,2026-05-25T04:42:00Z,calibration,follow_up_required,372,0.98,777.0,4,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0105,EVT-2026S1-B025,EQ-M2X-001,2026-05-25T03:30:00Z,2026-05-25T10:05:00Z,preventive,resolved,395,1.35,808.75,0,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0106,EVT-2026S1-B026,EQ-M2X-002,2026-05-25T08:30:00Z,2026-05-25T15:28:00Z,corrective,monitoring,418,1.72,840.5,1,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0107,EVT-2026S1-B027,EQ-M2X-003,2026-05-25T13:30:00Z,2026-05-25T14:01:00Z,inspection,parts_ordered,31,2.09,872.25,2,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0108,EVT-2026S1-B028,EQ-M2X-004,2026-05-25T18:30:00Z,2026-05-25T19:24:00Z,calibration,follow_up_required,54,2.46,54.0,3,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0109,EVT-2026S1-B029,EQ-M2X-005,2026-05-25T23:30:00Z,2026-05-26T00:47:00Z,preventive,resolved,77,2.83,85.75,4,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0110,EVT-2026S1-B030,EQ-M2X-006,2026-05-26T04:30:00Z,2026-05-26T06:10:00Z,corrective,monitoring,100,3.2,117.5,0,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0111,EVT-2026S1-B031,EQ-M2X-007,2026-05-26T09:30:00Z,2026-05-26T11:33:00Z,inspection,parts_ordered,123,3.57,149.25,1,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0112,EVT-2026S1-B032,EQ-M2X-008,2026-05-26T14:30:00Z,2026-05-26T16:56:00Z,calibration,follow_up_required,146,3.94,181.0,2,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0113,EVT-2026S1-B033,EQ-M2X-009,2026-05-26T19:30:00Z,2026-05-26T22:19:00Z,preventive,resolved,169,4.31,212.75,3,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0114,EVT-2026S1-B034,EQ-M2X-010,2026-05-27T00:30:00Z,2026-05-27T03:42:00Z,corrective,monitoring,192,4.68,244.5,4,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0115,EVT-2026S1-B035,EQ-M2X-011,2026-05-27T05:30:00Z,2026-05-27T09:05:00Z,inspection,parts_ordered,215,5.05,276.25,0,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
